,N,beta,effectiveBeta,effectiveBetaPct,graph_m,meanDegree,p,rep
0,20000,0.155,0.15665934472075366,1.010705449811314,6,11.9964,1.0,0
1,20000,0.155,0.15253110183771024,0.9840716247594209,6,11.9964,0.5,0
2,20000,0.155,0.1413513163079227,0.9119439761801464,6,11.9964,0.25,0
3,20000,0.155,0.13889185611702656,0.8960764910775907,6,11.9964,0.1,0
4,20000,0.155,0.14759956659741127,0.9522552683703953,6,11.9964,0.05,0
5,20000,0.155,0.1387310031363458,0.8950387299119084,6,11.9964,0.01,0
6,20000,0.155,0.14725329205218485,0.9500212390463538,6,11.9964,0.005,0
7,20000,0.155,0.14930089499604485,0.9632315806196442,6,11.9964,0.001,0
8,20000,0.155,0.1513159451043418,0.9762319038989793,6,11.9964,0.0,0
9,20000,0.155,0.15551110742010302,1.0032974672264712,5,9.9975,1.0,0
10,20000,0.155,0.14637176542126998,0.9443339704598063,5,9.9975,0.5,0
11,20000,0.155,0.15120470055045326,0.9755141970996984,5,9.9975,0.25,0
12,20000,0.155,0.1363706962332538,0.879810943440347,5,9.9975,0.1,0
13,20000,0.155,0.1478673393740601,0.9539828346713555,5,9.9975,0.05,0
14,20000,0.155,0.13738973952421285,0.8863854162852443,5,9.9975,0.01,0
15,20000,0.155,0.13280620677412996,0.8568142372524514,5,9.9975,0.005,0
16,20000,0.155,0.13505790693264136,0.8713413350492991,5,9.9975,0.001,0
17,20000,0.155,0.14655453715568148,0.9455131429398805,5,9.9975,0.0,0
18,20000,0.155,0.1658965141335646,1.0703000911842877,4,7.9984,1.0,0
19,20000,0.155,0.15689653615913968,1.01223571715574,4,7.9984,0.5,0
20,20000,0.155,0.14463094131110055,0.9331028471683906,4,7.9984,0.25,0
21,20000,0.155,0.1303447002023594,0.8409335496926412,4,7.9984,0.1,0
22,20000,0.155,0.13927225526444434,0.8985306791254474,4,7.9984,0.05,0
23,20000,0.155,0.1271542439854465,0.820349961196429,4,7.9984,0.01,0
24,20000,0.155,0.12281477745985972,0.7923534029668369,4,7.9984,0.005,0
25,20000,0.155,0.13203358357319578,0.8518295714399727,4,7.9984,0.001,0
26,20000,0.155,0.12396947524976512,0.799803066127517,4,7.9984,0.0,0
27,20000,0.155,0.1474215036782011,0.9511064753432328,3,5.9991,1.0,0
28,20000,0.155,0.15340642778469038,0.9897188889334864,3,5.9991,0.5,0
29,20000,0.155,0.13882565732961605,0.8956494021265552,3,5.9991,0.25,0
30,20000,0.155,0.1323940056852086,0.8541548753884426,3,5.9991,0.1,0
31,20000,0.155,0.12414324144275829,0.8009241383403761,3,5.9991,0.05,0
32,20000,0.155,0.11606571366386953,0.7488110558959324,3,5.9991,0.01,0
33,20000,0.155,0.10816273237439779,0.6978240798348244,3,5.9991,0.005,0
34,20000,0.155,0.11043709701206893,0.712497400077864,3,5.9991,0.001,0
35,20000,0.155,0.10328242998318225,0.6663382579560145,3,5.9991,0.0,0
36,20000,0.155,0.15371061060241345,0.9916813587252481,2,3.9996,1.0,0
37,20000,0.155,0.13705025751756875,0.8841952097907662,2,3.9996,0.5,0
38,20000,0.155,0.12286674476621506,0.792688675911065,2,3.9996,0.25,0
39,20000,0.155,0.11939741853420245,0.7703059260271126,2,3.9996,0.1,0
40,20000,0.155,0.10945856525083039,0.7061842919408412,2,3.9996,0.05,0
41,20000,0.155,0.1287155016663188,0.830422591395605,2,3.9996,0.01,0
42,20000,0.155,0.10333939378345373,0.6667057663448628,2,3.9996,0.005,0
43,20000,0.155,0.10134796529978514,0.6538578406437751,2,3.9996,0.001,0
44,20000,0.155,0.12046402873064593,0.7771872821331995,2,3.9996,0.0,0
45,20000,0.155,0.16129701220077539,1.0406258851662928,1,1.9999,1.0,0
46,20000,0.155,0.1382541653713217,0.8919623572343336,1,1.9999,0.5,0
47,20000,0.155,0.10633011486836459,0.6860007410862232,1,1.9999,0.25,0
48,20000,0.155,0.11831838944171318,0.7633444480110527,1,1.9999,0.1,0
49,20000,0.155,0.10594711550172974,0.6835297774305145,1,1.9999,0.05,0
50,20000,0.155,0.07783283810453129,0.5021473426098793,1,1.9999,0.01,0
51,20000,0.155,0.10633207286256482,0.6860133733068698,1,1.9999,0.005,0
52,20000,0.155,0.11128319616588599,0.7179561042960386,1,1.9999,0.001,0
53,20000,0.155,0.1329313684936149,0.8576217322168703,1,1.9999,0.0,0
54,20000,0.155,0.16252475616945294,1.0485468139964707,6,11.9964,1.0,1
55,20000,0.155,0.15198716303585938,0.9805623421668347,6,11.9964,0.5,1
56,20000,0.155,0.1458311438474578,0.9408460893384374,6,11.9964,0.25,1
57,20000,0.155,0.13691416062749592,0.8833171653386834,6,11.9964,0.1,1
58,20000,0.155,0.14853866819254025,0.9583139883389693,6,11.9964,0.05,1
59,20000,0.155,0.14846212562320268,0.957820165310985,6,11.9964,0.01,1
60,20000,0.155,0.13543706111317988,0.8737874910527734,6,11.9964,0.005,1
61,20000,0.155,0.14107788881754008,0.9101799278550973,6,11.9964,0.001,1
62,20000,0.155,0.13895089906485067,0.8964574133216172,6,11.9964,0.0,1
63,20000,0.155,0.16548161293951336,1.067623309287183,5,9.9975,1.0,1
64,20000,0.155,0.15860331763629107,1.0232472105567165,5,9.9975,0.5,1
65,20000,0.155,0.14901522834519462,0.9613885699689976,5,9.9975,0.25,1
66,20000,0.155,0.1406012283822321,0.9071046992402071,5,9.9975,0.1,1
67,20000,0.155,0.13339466970710928,0.8606107723039309,5,9.9975,0.05,1
68,20000,0.155,0.14198821514958948,0.9160530009650935,5,9.9975,0.01,1
69,20000,0.155,0.12483103615457461,0.8053615235779007,5,9.9975,0.005,1
70,20000,0.155,0.1268265933284851,0.8182360859902263,5,9.9975,0.001,1
71,20000,0.155,0.14582672474340364,0.9408175789897009,5,9.9975,0.0,1
72,20000,0.155,0.16070488197247423,1.0368056901449951,4,7.9984,1.0,1
73,20000,0.155,0.15112233955786442,0.9749828358571898,4,7.9984,0.5,1
74,20000,0.155,0.14633711089973528,0.9441103929015179,4,7.9984,0.25,1
75,20000,0.155,0.12755737448167537,0.8229508031075831,4,7.9984,0.1,1
76,20000,0.155,0.13244273609119303,0.8544692651044712,4,7.9984,0.05,1
77,20000,0.155,0.12342770273335966,0.7963077595700624,4,7.9984,0.01,1
78,20000,0.155,0.12849922896614194,0.8290272836525286,4,7.9984,0.005,1
79,20000,0.155,0.12397985143883856,0.7998700092828295,4,7.9984,0.001,1
80,20000,0.155,0.1374109513318737,0.8865222666572496,4,7.9984,0.0,1
81,20000,0.155,0.15985207988839498,1.0313037412154515,3,5.9991,1.0,1
82,20000,0.155,0.14800474677263128,0.954869334016976,3,5.9991,0.5,1
83,20000,0.155,0.13139472615136463,0.8477079106539653,3,5.9991,0.25,1
84,20000,0.155,0.12344609900823172,0.7964264452143982,3,5.9991,0.1,1
85,20000,0.155,0.1280648948032712,0.8262251277630401,3,5.9991,0.05,1
86,20000,0.155,0.1262710143059948,0.8146517051999664,3,5.9991,0.01,1
87,20000,0.155,0.11056933855591713,0.7133505713284977,3,5.9991,0.005,1
88,20000,0.155,0.11958105010876874,0.7714906458630241,3,5.9991,0.001,1
89,20000,0.155,0.12599700868980046,0.8128839270309707,3,5.9991,0.0,1
90,20000,0.155,0.16121797027829576,1.0401159372793276,2,3.9996,1.0,1
91,20000,0.155,0.137354494844582,0.8861580312553679,2,3.9996,0.5,1
92,20000,0.155,0.1198921899583641,0.7734979997313813,2,3.9996,0.25,1
93,20000,0.155,0.10924339125776804,0.7047960726307615,2,3.9996,0.1,1
94,20000,0.155,0.1057247018855331,0.682094850874407,2,3.9996,0.05,1
95,20000,0.155,0.12464360357160388,0.8041522811071218,2,3.9996,0.01,1
96,20000,0.155,0.09567377280579901,0.6172501471341872,2,3.9996,0.005,1
97,20000,0.155,0.09331841690437429,0.6020543026088664,2,3.9996,0.001,1
98,20000,0.155,0.10240965718121277,0.6607074656852436,2,3.9996,0.0,1
99,20000,0.155,0.16167660427112457,1.0430748662653198,1,1.9999,1.0,1
100,20000,0.155,0.1301133978801089,0.8394412766458639,1,1.9999,0.5,1
101,20000,0.155,0.09700177768419449,0.6258179205431903,1,1.9999,0.25,1
102,20000,0.155,0.16919087253848583,1.0915540163773279,1,1.9999,0.1,1
103,20000,0.155,0.12120890840855032,0.7819929574745182,1,1.9999,0.05,1
104,20000,0.155,0.13903530986712334,0.8970019991427313,1,1.9999,0.01,1
105,20000,0.155,0.18562932657374423,1.1976085585402854,1,1.9999,0.005,1
106,20000,0.155,0.09510534802155529,0.613582890461647,1,1.9999,0.001,1
107,20000,0.155,0.10647767161577047,0.686952720101745,1,1.9999,0.0,1
108,20000,0.155,0.15735246593530747,1.0151771995826289,6,11.9964,1.0,2
109,20000,0.155,0.15060741582196152,0.9716607472384614,6,11.9964,0.5,2
110,20000,0.155,0.1444090882294841,0.9316715369644135,6,11.9964,0.25,2
111,20000,0.155,0.143070513570813,0.9230355714245999,6,11.9964,0.1,2
112,20000,0.155,0.14509673756038804,0.9361079842605681,6,11.9964,0.05,2
113,20000,0.155,0.1412283701618599,0.9111507752378059,6,11.9964,0.01,2
114,20000,0.155,0.14270153803121208,0.920655084072336,6,11.9964,0.005,2
115,20000,0.155,0.14075033778671572,0.908066695398166,6,11.9964,0.001,2
116,20000,0.155,0.14870400942621567,0.959380705975585,6,11.9964,0.0,2
117,20000,0.155,0.15440645440121684,0.9961706735562377,5,9.9975,1.0,2
118,20000,0.155,0.15499955360059456,0.9999971200038359,5,9.9975,0.5,2
119,20000,0.155,0.14906097260408277,0.9616836942198889,5,9.9975,0.25,2
120,20000,0.155,0.1417276383470398,0.9143718603034826,5,9.9975,0.1,2
121,20000,0.155,0.13266804326107537,0.8559228597488734,5,9.9975,0.05,2
122,20000,0.155,0.1296223892299827,0.8362734789031142,5,9.9975,0.01,2
123,20000,0.155,0.13700082828005597,0.8838763114842321,5,9.9975,0.005,2
124,20000,0.155,0.13337730646753315,0.8604987514034397,5,9.9975,0.001,2
125,20000,0.155,0.12976352883508932,0.8371840570005763,5,9.9975,0.0,2
126,20000,0.155,0.15410750162179254,0.9942419459470486,4,7.9984,1.0,2
127,20000,0.155,0.154540548422225,0.9970357962724193,4,7.9984,0.5,2
128,20000,0.155,0.13765717068296357,0.888110778599765,4,7.9984,0.25,2
129,20000,0.155,0.14017442275164974,0.9043511145267725,4,7.9984,0.1,2
130,20000,0.155,0.12477000200183519,0.8049677548505496,4,7.9984,0.05,2
131,20000,0.155,0.12596434566262746,0.812673197823403,4,7.9984,0.01,2
132,20000,0.155,0.13786930741709147,0.8894794026909127,4,7.9984,0.005,2
133,20000,0.155,0.1278935789637798,0.8251198642824504,4,7.9984,0.001,2
134,20000,0.155,0.12891832106115675,0.8317311036203662,4,7.9984,0.0,2
135,20000,0.155,0.1631928628069128,1.0528571793994375,3,5.9991,1.0,2
136,20000,0.155,0.1426942892153039,0.9206083175180896,3,5.9991,0.5,2
137,20000,0.155,0.13644340361732285,0.8802800233375668,3,5.9991,0.25,2
138,20000,0.155,0.136211099502227,0.878781287111142,3,5.9991,0.1,2
139,20000,0.155,0.12043354084929368,0.7769905861244754,3,5.9991,0.05,2
140,20000,0.155,0.11408851044786589,0.7360549061152638,3,5.9991,0.01,2
141,20000,0.155,0.12532212671543622,0.8085298497770078,3,5.9991,0.005,2
142,20000,0.155,0.11875087912158158,0.7661347040102038,3,5.9991,0.001,2
143,20000,0.155,0.10245173831433106,0.660978956866652,3,5.9991,0.0,2
144,20000,0.155,0.16305082386155773,1.0519407991068241,2,3.9996,1.0,2
145,20000,0.155,0.145395940710179,0.9380383271624452,2,3.9996,0.5,2
146,20000,0.155,0.11805006424862291,0.7616133177330511,2,3.9996,0.25,2
147,20000,0.155,0.11958498722651069,0.7715160466226496,2,3.9996,0.1,2
148,20000,0.155,0.11347664914006506,0.7321074138068713,2,3.9996,0.05,2
149,20000,0.155,0.08817835157625879,0.5688925908145729,2,3.9996,0.01,2
150,20000,0.155,0.10302768425262221,0.6646947371136916,2,3.9996,0.005,2
151,20000,0.155,0.0936363998562496,0.6041058055241909,2,3.9996,0.001,2
152,20000,0.155,0.09801561973314869,0.6323588369880561,2,3.9996,0.0,2
153,20000,0.155,0.1543723987485614,0.9959509596681381,1,1.9999,1.0,2
154,20000,0.155,0.12861254059652064,0.8297583264291654,1,1.9999,0.5,2
155,20000,0.155,0.09977611924762377,0.6437168983717663,1,1.9999,0.25,2
156,20000,0.155,0.11804148003974178,0.7615579357402695,1,1.9999,0.1,2
157,20000,0.155,0.08680882604567763,0.5600569422301783,1,1.9999,0.05,2
158,20000,0.155,0.08242939325873808,0.5318025371531488,1,1.9999,0.01,2
159,20000,0.155,0.09782103755042372,0.6311034680672498,1,1.9999,0.005,2
160,20000,0.155,0.09869828462599962,0.6367631266193524,1,1.9999,0.001,2
161,20000,0.155,0.09579852515545441,0.6180550010029316,1,1.9999,0.0,2
162,20000,0.155,0.15665340331745606,1.0106671181771358,6,11.9964,1.0,3
163,20000,0.155,0.14740453400859796,0.9509969936038578,6,11.9964,0.5,3
164,20000,0.155,0.1496808559204725,0.9656829414224033,6,11.9964,0.25,3
165,20000,0.155,0.1482535924687415,0.956474790120913,6,11.9964,0.1,3
166,20000,0.155,0.13431862761844374,0.8665717910867338,6,11.9964,0.05,3
167,20000,0.155,0.1442955945645298,0.9309393197711601,6,11.9964,0.01,3
168,20000,0.155,0.1419485707297218,0.9157972305143343,6,11.9964,0.005,3
169,20000,0.155,0.13366843951181562,0.8623770291084879,6,11.9964,0.001,3
170,20000,0.155,0.13081660143541785,0.8439780737768894,6,11.9964,0.0,3
171,20000,0.155,0.1617079186008067,1.043276894198753,5,9.9975,1.0,3
172,20000,0.155,0.15073724070280775,0.9724983271148887,5,9.9975,0.5,3
173,20000,0.155,0.14406638447475023,0.9294605449983886,5,9.9975,0.25,3
174,20000,0.155,0.13633366960104779,0.8795720619422438,5,9.9975,0.1,3
175,20000,0.155,0.13036519101640878,0.8410657484929599,5,9.9975,0.05,3
176,20000,0.155,0.145202131346714,0.9367879441723485,5,9.9975,0.01,3
177,20000,0.155,0.136725591035205,0.8821005873239033,5,9.9975,0.005,3
178,20000,0.155,0.13005702521192328,0.8390775820124082,5,9.9975,0.001,3
179,20000,0.155,0.14953261290951866,0.9647265349001204,5,9.9975,0.0,3
180,20000,0.155,0.1545718575543253,0.9972377906730664,4,7.9984,1.0,3
181,20000,0.155,0.14991520153317844,0.9671948486011512,4,7.9984,0.5,3
182,20000,0.155,0.14983598054149727,0.9666837454290147,4,7.9984,0.25,3
183,20000,0.155,0.14573980718615942,0.9402568205558672,4,7.9984,0.1,3
184,20000,0.155,0.12533248900853955,0.8085967032809003,4,7.9984,0.05,3
185,20000,0.155,0.12169082262592328,0.7851020814575695,4,7.9984,0.01,3
186,20000,0.155,0.13311961083301835,0.858836198922699,4,7.9984,0.005,3
187,20000,0.155,0.12391064731447574,0.7994235310611338,4,7.9984,0.001,3
188,20000,0.155,0.1198370861723333,0.7731424914344084,4,7.9984,0.0,3
189,20000,0.155,0.1573981124069142,1.0154716929478336,3,5.9991,1.0,3
190,20000,0.155,0.16117679450867414,1.0398502871527364,3,5.9991,0.5,3
191,20000,0.155,0.13804571550641945,0.8906175193962546,3,5.9991,0.25,3
192,20000,0.155,0.11911282004260186,0.7684698067264636,3,5.9991,0.1,3
193,20000,0.155,0.13403871558402317,0.8647659069936978,3,5.9991,0.05,3
194,20000,0.155,0.11797396574040986,0.7611223596155475,3,5.9991,0.01,3
195,20000,0.155,0.12092505267193174,0.7801616301414951,3,5.9991,0.005,3
196,20000,0.155,0.1235751792105495,0.7972592207132226,3,5.9991,0.001,3
197,20000,0.155,0.12546061545929288,0.809423325543825,3,5.9991,0.0,3
198,20000,0.155,0.15765183661763552,1.017108623339584,2,3.9996,1.0,3
199,20000,0.155,0.13607647887637248,0.8779127669443385,2,3.9996,0.5,3
200,20000,0.155,0.11602388272042992,0.7485411788414833,2,3.9996,0.25,3
201,20000,0.155,0.10756629720122947,0.693976110975674,2,3.9996,0.1,3
202,20000,0.155,0.12130775758616702,0.7826306941043034,2,3.9996,0.05,3
203,20000,0.155,0.1266011632020971,0.8167816980780459,2,3.9996,0.01,3
204,20000,0.155,0.10733889341016122,0.6925089897429756,2,3.9996,0.005,3
205,20000,0.155,0.12529663587093628,0.808365392715718,2,3.9996,0.001,3
206,20000,0.155,0.10727048784860645,0.6920676635393964,2,3.9996,0.0,3
207,20000,0.155,0.16309332042678915,1.0522149704954138,1,1.9999,1.0,3
208,20000,0.155,0.1402639968325389,0.9049290118228316,1,1.9999,0.5,3
209,20000,0.155,0.11511539230002608,0.7426799503227489,1,1.9999,0.25,3
210,20000,0.155,0.1159271489419488,0.7479170899480568,1,1.9999,0.1,3
211,20000,0.155,0.07943693766874832,0.5124963720564408,1,1.9999,0.05,3
212,20000,0.155,0.08269017128933907,0.5334849760602521,1,1.9999,0.01,3
213,20000,0.155,0.08899719008257746,0.5741754198875966,1,1.9999,0.005,3
214,20000,0.155,0.1002618679873135,0.6468507612084742,1,1.9999,0.001,3
215,20000,0.155,0.08045016356918902,0.5190333133496066,1,1.9999,0.0,3
216,20000,0.155,0.16743274673487915,1.080211269257285,6,11.9964,1.0,4
217,20000,0.155,0.15291988831863207,0.9865799246363359,6,11.9964,0.5,4
218,20000,0.155,0.15088601060365336,0.973458132926796,6,11.9964,0.25,4
219,20000,0.155,0.14655175147138141,0.9454951707831059,6,11.9964,0.1,4
220,20000,0.155,0.13686110989889821,0.8829749025735368,6,11.9964,0.05,4
221,20000,0.155,0.1363328695357529,0.879566900230664,6,11.9964,0.01,4
222,20000,0.155,0.14047250792207466,0.9062742446585462,6,11.9964,0.005,4
223,20000,0.155,0.13159850159082556,0.849022590908552,6,11.9964,0.001,4
224,20000,0.155,0.12836130945030927,0.8281374803245759,6,11.9964,0.0,4
225,20000,0.155,0.1549286985369987,0.999539990561282,5,9.9975,1.0,4
226,20000,0.155,0.15997337221311386,1.03208627234267,5,9.9975,0.5,4
227,20000,0.155,0.13665455317703776,0.8816422785615339,5,9.9975,0.25,4
228,20000,0.155,0.151384515599741,0.9766742941918775,5,9.9975,0.1,4
229,20000,0.155,0.1399426065790895,0.9028555263167064,5,9.9975,0.05,4
230,20000,0.155,0.12688024381967636,0.8185822181914604,5,9.9975,0.01,4
231,20000,0.155,0.12448029816905302,0.8030986978648582,5,9.9975,0.005,4
232,20000,0.155,0.1177182872960356,0.7594728212647458,5,9.9975,0.001,4
233,20000,0.155,0.13464865464982484,0.8687009977408054,5,9.9975,0.0,4
234,20000,0.155,0.16191698625311615,1.0446257177620397,4,7.9984,1.0,4
235,20000,0.155,0.15939398974412733,1.0283483209298538,4,7.9984,0.5,4
236,20000,0.155,0.14123206654946757,0.9111746228997908,4,7.9984,0.25,4
237,20000,0.155,0.13192062610283783,0.8511008135666958,4,7.9984,0.1,4
238,20000,0.155,0.1318894270098298,0.8508995290956762,4,7.9984,0.05,4
239,20000,0.155,0.12409464028865795,0.8006105825074706,4,7.9984,0.01,4
240,20000,0.155,0.12695742078478484,0.819080134095386,4,7.9984,0.005,4
241,20000,0.155,0.12496551778326999,0.8062291469888386,4,7.9984,0.001,4
242,20000,0.155,0.1316161336261776,0.8491363459753394,4,7.9984,0.0,4
243,20000,0.155,0.1578843856271976,1.018608939530307,3,5.9991,1.0,4
244,20000,0.155,0.1518895404551941,0.9799325190657684,3,5.9991,0.5,4
245,20000,0.155,0.1355146774998174,0.8742882419343059,3,5.9991,0.25,4
246,20000,0.155,0.12124167885683788,0.7822043797215348,3,5.9991,0.1,4
247,20000,0.155,0.12710210352982323,0.82001357116015,3,5.9991,0.05,4
248,20000,0.155,0.11600959454360067,0.7484489970554882,3,5.9991,0.01,4
249,20000,0.155,0.15673074099918777,1.0111660709625017,3,5.9991,0.005,4
250,20000,0.155,0.10136143042457091,0.6539447124165865,3,5.9991,0.001,4
251,20000,0.155,0.11754120213973525,0.7583303363853887,3,5.9991,0.0,4
252,20000,0.155,0.15644848833092936,1.0093450860059958,2,3.9996,1.0,4
253,20000,0.155,0.1466459986749212,0.9461032172575562,2,3.9996,0.5,4
254,20000,0.155,0.121718835586469,0.7852828102352839,2,3.9996,0.25,4
255,20000,0.155,0.13146601971748448,0.8481678691450611,2,3.9996,0.1,4
256,20000,0.155,0.09215648238376331,0.5945579508629891,2,3.9996,0.05,4
257,20000,0.155,0.0886955706536066,0.5722294880877845,2,3.9996,0.01,4
258,20000,0.155,0.10587245518472099,0.6830480979659419,2,3.9996,0.005,4
259,20000,0.155,0.12458219678900051,0.8037561083161323,2,3.9996,0.001,4
260,20000,0.155,0.08647966898235368,0.5579333482732496,2,3.9996,0.0,4
261,20000,0.155,0.16043213487910185,1.0350460314780765,1,1.9999,1.0,4
262,20000,0.155,0.12657840929736475,0.8166348986926758,1,1.9999,0.5,4
263,20000,0.155,0.09278163114741882,0.5985911686930246,1,1.9999,0.25,4
264,20000,0.155,0.08618810845605143,0.5560523126196867,1,1.9999,0.1,4
265,20000,0.155,0.10712865432061111,0.6911526085200717,1,1.9999,0.05,4
266,20000,0.155,0.08184165537650837,0.5280106798484411,1,1.9999,0.01,4
267,20000,0.155,0.1221531112750749,0.7880845888714509,1,1.9999,0.005,4
268,20000,0.155,0.0744372932880802,0.4802406018585819,1,1.9999,0.001,4
269,20000,0.155,0.08904420718070959,0.574478756004578,1,1.9999,0.0,4
